timestamp,error_code
2024-06-01 21:00:10.068501,OK
2024-06-01 21:00:20.934694,OK
2024-06-01 21:00:25.997543,OK
2024-06-01 21:00:36.090388,OK
2024-06-01 21:00:44.213738,OK
2024-06-01 21:00:49.223455,OK
2024-06-01 21:00:57.531460,OK
2024-06-01 21:01:08.988455,OK
2024-06-01 21:01:14.084073,OK
2024-06-01 21:01:24.379873,OK
2024-06-01 21:01:29.854082,OK
2024-06-01 21:01:39.427822,OK
2024-06-01 21:01:45.334529,OK
2024-06-01 21:01:55.467611,OK
2024-06-01 21:02:04.545541,OK
2024-06-01 21:02:10.392372,OK
2024-06-01 21:02:18.007198,OK
2024-06-01 21:02:27.017887,OK
2024-06-01 21:02:34.523291,OK
2024-06-01 21:02:44.692782,OK
2024-06-01 21:02:51.850545,OK
2024-06-01 21:02:57.502483,NOK_4
2024-06-01 21:03:05.080814,OK
2024-06-01 21:03:14.108713,NOK_1
2024-06-01 21:03:21.462501,OK
2024-06-01 21:03:31.039920,NOK_4
2024-06-01 21:03:38.833152,OK
2024-06-01 21:03:45.884463,OK
2024-06-01 21:03:55.539531,OK
2024-06-01 21:04:01.183430,OK
2024-06-01 21:04:09.601739,NOK_4
2024-06-01 21:04:20.961697,OK
2024-06-01 21:04:25.986911,OK
2024-06-01 21:04:33.357552,OK
2024-06-01 21:04:44.858795,OK
2024-06-01 21:04:52.400443,OK
2024-06-01 21:04:58.089237,OK
2024-06-01 21:05:05.688867,OK
2024-06-01 21:05:13.977373,OK
2024-06-01 21:05:23.149847,OK
2024-06-01 21:05:31.917031,OK
2024-06-01 21:05:39.747373,OK
2024-06-01 21:05:47.631024,OK
2024-06-01 21:05:55.298096,OK
2024-06-01 21:06:03.618875,OK
2024-06-01 21:06:10.686000,OK
2024-06-01 21:06:20.822229,OK
2024-06-01 21:06:25.393222,OK
2024-06-01 21:06:35.641662,OK
2024-06-01 21:06:42.340344,OK
2024-06-01 21:06:50.385539,OK
2024-06-01 21:06:57.712776,OK
2024-06-01 21:07:07.194911,OK
2024-06-01 21:07:14.173422,OK
2024-06-01 21:07:24.463399,OK
2024-06-01 21:07:32.322688,OK
2024-06-01 21:07:38.281163,OK
2024-06-01 21:07:48.547555,OK
2024-06-01 21:07:53.747349,OK
2024-06-01 21:08:01.968087,OK
2024-06-01 21:08:11.144258,OK
2024-06-01 21:08:18.393669,OK
2024-06-01 21:08:28.807635,OK
2024-06-01 21:08:35.714135,NOK_4
2024-06-01 21:08:41.788984,OK
2024-06-01 21:08:50.059315,OK
2024-06-01 21:08:57.412790,NOK_4
2024-06-01 21:09:06.195332,OK
2024-06-01 21:09:14.756914,OK
2024-06-01 21:09:21.567996,OK
2024-06-01 21:09:32.147737,OK
2024-06-01 21:09:37.224039,OK
2024-06-01 21:09:48.765415,OK
2024-06-01 21:09:53.304668,OK
2024-06-01 21:10:03.430273,OK
2024-06-01 21:10:11.501226,OK
2024-06-01 21:10:20.759665,OK
2024-06-01 21:10:26.341788,OK
2024-06-01 21:10:35.726388,OK
2024-06-01 21:10:41.486619,OK
2024-06-01 21:10:51.389645,OK
2024-06-01 21:10:58.746487,OK
2024-06-01 21:11:06.304397,OK
2024-06-01 21:11:13.298257,OK
2024-06-01 21:11:24.701720,OK
2024-06-01 21:11:29.311299,OK
2024-06-01 21:11:40.306513,OK
2024-06-01 21:11:45.687698,OK
2024-06-01 21:11:54.407859,OK
2024-06-01 21:12:03.898598,NOK_4
2024-06-01 21:12:09.402515,OK
2024-06-01 21:12:19.404346,OK
2024-06-01 21:12:26.127911,OK
2024-06-01 21:12:36.216792,OK
2024-06-01 21:12:44.748413,OK
2024-06-01 21:12:51.587897,OK
2024-06-01 21:12:58.385658,OK
2024-06-01 21:13:06.211661,OK
2024-06-01 21:13:16.697830,NOK_4
2024-06-01 21:13:22.624475,OK
2024-06-01 21:13:31.444889,OK
2024-06-01 21:13:39.183754,OK
2024-06-01 21:13:47.813579,OK
2024-06-01 21:13:53.184117,OK
2024-06-01 21:14:03.187717,OK
2024-06-01 21:14:11.239681,OK
2024-06-01 21:14:17.687861,OK
2024-06-01 21:14:28.805648,OK
2024-06-01 21:14:35.710992,OK
2024-06-01 21:14:44.316837,OK
2024-06-01 21:14:52.114245,OK
2024-06-01 21:14:57.234350,OK
2024-06-01 21:15:06.758794,OK
2024-06-01 21:15:15.490765,OK
2024-06-01 21:15:24.667036,OK
2024-06-01 21:15:29.478555,OK
2024-06-01 21:15:40.788194,OK
2024-06-01 21:15:48.043393,OK
2024-06-01 21:15:54.979766,OK
2024-06-01 21:16:01.106074,OK
2024-06-01 21:16:09.272402,OK
2024-06-01 21:16:17.829318,OK
2024-06-01 21:16:28.787059,NOK_4
2024-06-01 21:16:35.913113,OK
2024-06-01 21:16:43.347544,OK
2024-06-01 21:16:49.679553,OK
2024-06-01 21:16:58.028000,OK
2024-06-01 21:17:07.829861,NOK_4
2024-06-01 21:17:15.517678,OK
2024-06-01 21:17:21.205622,OK
2024-06-01 21:17:30.034140,OK
2024-06-01 21:17:40.158299,OK
2024-06-01 21:17:46.507754,OK
2024-06-01 21:17:54.907057,OK
2024-06-01 21:18:04.270863,OK
2024-06-01 21:18:09.201339,OK
2024-06-01 21:18:19.660324,OK
